Participant,Condition,StimStep,StimLength,PrevStimStep,Response,RT,Trial24,Trial72,Resp
601,Noise,4,Short,4,0,1100,1,1,0
601,Noise,5,Short,4,1,738,2,2,1
601,Noise,2,Long,5,0,668,3,3,0
601,Noise,6,Short,2,1,554,4,4,1
601,Noise,5,Long,6,1,629,5,5,1
601,Noise,3,Short,5,1,1019,6,6,1
601,Noise,1,Long,3,0,638,7,7,0
601,Noise,3,Long,1,0,1066,8,8,0
601,Noise,1,Short,3,0,664,9,9,0
601,Noise,6,Long,1,1,645,10,10,1
601,Noise,4,Long,6,1,834,11,11,1
601,Noise,2,Short,4,0,613,12,12,0
601,Noise,4,Long,2,1,662,13,13,1
601,Noise,4,Short,4,0,739,14,14,0
601,Noise,1,Short,4,0,761,15,15,0
601,Noise,2,Short,1,0,714,16,16,0
601,Noise,3,Long,2,1,869,17,17,1
601,Noise,6,Long,3,1,1202,18,18,1
601,Noise,6,Short,6,1,763,19,19,1
601,Noise,5,Short,6,1,714,20,20,1
601,Noise,2,Long,5,0,737,21,21,0
601,Noise,1,Long,2,0,857,22,22,0
601,Noise,5,Long,1,1,730,23,23,1
601,Noise,3,Short,5,0,926,24,24,0
601,Music,4,Short,4,1,633,1,25,1
601,Music,3,Long,4,0,667,2,26,0
601,Music,2,Long,3,0,820,3,27,0
601,Music,2,Short,2,0,698,4,28,0
601,Music,6,Short,2,1,571,5,29,1
601,Music,3,Short,6,0,602,6,30,0
601,Music,1,Long,3,0,767,7,31,0
601,Music,5,Short,1,1,657,8,32,1
601,Music,4,Long,5,1,660,9,33,1
601,Music,1,Short,4,0,586,10,34,0
601,Music,6,Long,1,1,572,11,35,1
601,Music,5,Long,6,1,906,12,36,1
601,Music,3,Short,5,0,585,13,37,0
601,Music,1,Short,3,0,609,14,38,0
601,Music,4,Long,1,1,673,15,39,1
601,Music,5,Short,4,1,820,16,40,1
601,Music,6,Long,5,1,903,17,41,1
601,Music,2,Short,6,0,611,18,42,0
601,Music,3,Long,2,0,848,19,43,0
601,Music,5,Long,3,1,794,20,44,1
601,Music,2,Long,5,0,726,21,45,0
601,Music,6,Short,2,1,666,22,46,1
601,Music,4,Short,6,1,1150,23,47,1
601,Music,1,Long,4,0,533,24,48,0
601,Silence,4,Short,4,1,1048,1,49,1
601,Silence,6,Long,4,1,751,2,50,1
601,Silence,4,Long,6,1,718,3,51,1
601,Silence,2,Short,4,0,639,4,52,0
601,Silence,5,Short,2,1,820,5,53,1
601,Silence,3,Long,5,0,663,6,54,0
601,Silence,5,Long,3,1,721,7,55,1
601,Silence,6,Short,5,1,824,8,56,1
601,Silence,1,Short,6,0,686,9,57,0
601,Silence,2,Long,1,0,770,10,58,0
601,Silence,3,Short,2,0,709,11,59,0
601,Silence,1,Long,3,0,784,12,60,0
601,Silence,2,Long,1,0,799,13,61,0
601,Silence,6,Short,2,1,794,14,62,1
601,Silence,6,Long,6,1,812,15,63,1
601,Silence,2,Short,6,0,758,16,64,0
601,Silence,4,Long,2,1,682,17,65,1
601,Silence,4,Short,4,1,812,18,66,1
601,Silence,5,Long,4,1,798,19,67,1
601,Silence,3,Short,5,1,1175,20,68,1
601,Silence,1,Long,3,0,629,21,69,0
601,Silence,5,Short,1,1,826,22,70,1
601,Silence,1,Short,5,0,728,23,71,0
601,Silence,3,Long,1,1,785,24,72,1
602,Noise,4,Short,4,1,1011,1,1,1
602,Noise,1,Short,4,0,825,2,2,0
602,Noise,3,Long,1,1,852,3,3,1
602,Noise,5,Long,3,1,816,4,4,1
602,Noise,6,Long,5,1,775,5,5,1
602,Noise,5,Short,6,1,764,6,6,1
602,Noise,4,Long,5,1,1021,7,7,1
602,Noise,6,Short,4,1,1127,8,8,1
602,Noise,2,Long,6,0,840,9,9,0
602,Noise,3,Short,2,0,809,10,10,0
602,Noise,2,Short,3,0,712,11,11,0
602,Noise,1,Long,2,0,830,12,12,0
602,Noise,6,Short,1,1,894,13,13,1
602,Noise,6,Long,6,1,819,14,14,1
602,Noise,4,Long,6,0,1007,15,15,0
602,Noise,5,Long,4,1,800,16,16,1
602,Noise,3,Short,5,1,952,17,17,1
602,Noise,4,Short,3,0,1410,18,18,0
